CODOPER;DOCFEC;DOCSER;DOCNUM;DESCOP;HORACAN;DTOOBR;CODMOD;PORIMP;PORREC;PRETAR;NUMTAR;LINOBRA
101;26/03/2009;91;000040;DESPIECE DE MOTOR, LIMPIEZA, SACAR LISTADO DE PIEZAS DEFECTUOSAS, MONTAJE DE MOTOR EN TALLER;100;0;01;16;4;28;02;005
800;31/03/2009;91;000047;DESPLAZAMIENTO A FABRICA, REVISION DE NIVELES , SUSTITUCION DE FILTROS DE AIRE Y REPARAR ENGRASADORES DE CUCHARON;9;0;01;16;4;28;01;005
800;31/03/2009;91;000048;DESPLAZAMIENTO A FABRICA, CAMBIO DE ACEITE Y FILTROS 250 H. Y REVISION GENERAL DE MAQUINA;9;0;01;16;4;28;01;005
800;01/04/2009;91;000049;DESPLAZAMIENTO A FABRICA, CAMBIO DE ACEITE Y FILTROS 500 H. REVISION GENERAL DE MAQUINA;10;0;01;16;4;28;01;005
800;02/04/2009;91;000050;DESMONTAR PISTON DE PRENSA Y SUSTITUCION POR UNO NUEVO.;6;0;01;16;4;28;01;005
800;03/04/2009;91;000056;SUSTITUCION DE INYECTORES;0,01;0;01;16;4;0,01;01;005
800;06/04/2009;91;000062;DESPLAZAMIENTO A PLANTA, CAMBIO DE ACEITE Y FILTROS 250 H. REPARAR BULONES DE CUCHARON Y ENGRASE.;18;0;01;16;4;28;01;005
800;13/04/2009;91;000065;DESPLAZAMIENTO A FABRICA PARA REPARACION DE SISTEMA DE ENGRASE AUTOMATICO;6;0;01;16;4;28;01;005
800;14/04/2009;91;000066;DESPLAZAMIENTO A FABRICA PARA SUSTITUIR MOTOR DE ARRANQUE;10;0;01;16;4;28;01;005
800;21/04/2009;91;000068;DESPLAZAMIENTO, COMPROBACION CON DIAGNOSIS FALLO DE MOTOR Y ARRANQUE, COMPROBAR INSTALACION DE INYECTORES Y GASOIL;2;0;01;16;4;30;01;005
800;21/04/2009;91;000068;DESPLAZAMIENTO Y SUSTITUCION DE INYECTOR;3,5;0;01;16;4;30;02;005
